City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,port-aux-francais,-49.35,70.2167,5.93,96,97,10.71,TF,2023-12-13
1,puerto natales,-51.7236,-72.4875,10.25,43,40,13.38,CL,2023-12-13
2,atafu village,-8.5421,-172.5159,26.31,91,100,6.1,TK,2023-12-13
3,badger,64.8,-147.5333,-14.07,84,100,2.57,US,2023-12-13
4,alice springs,-23.7,133.8833,26.75,32,16,2.57,AU,2023-12-13
5,avarua,-21.2078,-159.775,25.03,94,40,3.09,CK,2023-12-13
6,tangalle,6.024,80.7911,27.09,85,99,3.14,LK,2023-12-13
7,lompoc,34.6391,-120.4579,13.21,87,20,4.12,US,2023-12-13
8,adamstown,-25.066,-130.1015,22.69,84,64,4.33,PN,2023-12-13
9,haiku-pauwela,20.9219,-156.3051,22.8,75,0,4.47,US,2023-12-13
10,tripoli,32.8752,13.1875,22.51,39,100,6.86,LY,2023-12-13
11,sao joao da barra,-21.6403,-41.0511,28.05,70,3,2.56,BR,2023-12-13
12,blackmans bay,-43.0167,147.3167,19.29,82,100,0.45,AU,2023-12-13
13,hermanus,-34.4187,19.2345,19.07,66,9,7.64,ZA,2023-12-13
14,enewetak,11.3474,162.3373,27.68,72,24,8.01,MH,2023-12-13
15,namibe,-15.1961,12.1522,24.18,71,100,5.32,AO,2023-12-13
16,hilo,19.7297,-155.09,20.34,94,100,2.57,US,2023-12-13
17,paulden,34.8856,-112.4682,2.19,22,0,0.89,US,2023-12-13
18,adjumani,3.3779,31.7909,33.5,22,39,2.93,UG,2023-12-13
19,vengerovo,55.6848,76.7471,-21.72,85,100,6.08,RU,2023-12-13
20,anadyr,64.75,177.4833,-23.72,77,0,4.0,RU,2023-12-13
21,vorgashor,67.5833,63.95,-20.71,99,100,3.24,RU,2023-12-13
22,port hedland,-20.3167,118.5667,27.03,83,0,4.63,AU,2023-12-13
23,yuzhno-kurilsk,44.0306,145.8556,-2.57,69,100,11.94,RU,2023-12-13
24,ushuaia,-54.8,-68.3,7.79,75,75,8.75,AR,2023-12-13
25,mount pearl,47.5166,-52.7813,2.2,77,75,6.69,CA,2023-12-13
26,gadzhiyevo,69.2551,33.3362,-18.41,100,89,4.05,RU,2023-12-13
27,margaret river,-33.95,115.0667,16.8,74,26,6.67,AU,2023-12-13
28,hammerfest,70.6634,23.6821,-6.75,68,0,2.06,NO,2023-12-13
29,ribeira grande,38.5167,-28.7,17.22,63,40,6.69,PT,2023-12-13
30,grootfontein,-19.5667,18.1167,35.76,14,20,2.57,,2023-12-13
31,edinburgh of the seven seas,-37.0676,-12.3116,14.33,85,85,6.31,SH,2023-12-13
32,fortaleza,-3.7227,-38.5247,31.07,60,40,10.29,BR,2023-12-13
33,tiksi,71.6872,128.8694,-17.34,98,100,5.74,RU,2023-12-13
34,visby,57.6409,18.296,0.12,86,100,3.6,SE,2023-12-13
35,sao jose da coroa grande,-8.8978,-35.1478,28.74,60,33,5.42,BR,2023-12-13
36,kodiak,57.79,-152.4072,-7.27,68,75,4.63,US,2023-12-13
37,ust-nera,64.5667,143.2,-30.29,100,98,1.87,RU,2023-12-13
38,papatowai,-46.5619,169.4708,10.74,74,100,9.97,NZ,2023-12-13
39,veinticinco de mayo,-35.4323,-60.1727,20.96,93,100,3.43,AR,2023-12-13
40,kununurra,-15.7667,128.7333,27.99,83,100,1.54,AU,2023-12-13
41,utrik,11.2278,169.8474,27.21,85,100,10.22,MH,2023-12-13
42,saint-philippe,-21.3585,55.7679,28.77,84,54,3.83,RE,2023-12-13
43,lebu,-37.6167,-73.65,13.67,70,0,7.87,CL,2023-12-13
44,tiruchchendur,8.4833,78.1167,26.83,74,100,7.91,IN,2023-12-13
45,sao gabriel da cachoeira,-0.1303,-67.0892,26.34,89,100,1.11,BR,2023-12-13
46,beihai,21.4833,109.1,23.04,91,100,5.18,CN,2023-12-13
47,vilyuchinsk,52.9306,158.4028,-4.85,88,100,5.26,RU,2023-12-13
48,port elizabeth,-33.918,25.5701,25.05,66,0,10.29,ZA,2023-12-13
49,juan griego,11.0817,-63.9655,27.36,74,5,5.85,VE,2023-12-13
50,stanley,54.868,-1.6985,5.43,85,75,4.12,GB,2023-12-13
51,mossel bay,-34.1831,22.146,20.96,65,4,5.36,ZA,2023-12-13
52,grytviken,-54.2811,-36.5092,5.3,89,100,0.35,GS,2023-12-13
53,atbasar,51.8,68.3333,-26.36,95,5,2.59,KZ,2023-12-13
54,roma,43.2128,-75.4557,1.09,65,100,5.66,US,2023-12-13
55,yanbu,24.0891,38.0637,27.02,44,20,2.06,SA,2023-12-13
56,labytnangi,66.6572,66.4183,-22.96,92,100,1.83,RU,2023-12-13
57,tosontsengel,48.7567,98.2839,-23.99,97,100,1.6,MN,2023-12-13
58,taoudenni,22.6783,-3.9836,26.76,8,99,4.08,ML,2023-12-13
59,atyrau,47.1167,51.8833,-8.99,35,75,11.0,KZ,2023-12-13
60,iqaluit,63.7506,-68.5145,-16.15,78,75,3.6,CA,2023-12-13
61,waitangi,-43.9535,-176.5597,11.01,78,74,5.36,NZ,2023-12-13
62,punta arenas,-53.15,-70.9167,10.06,50,75,8.75,CL,2023-12-13
63,al muwayh,22.4333,41.7583,22.23,18,5,5.56,SA,2023-12-13
64,qaqortoq,60.7167,-46.0333,-6.62,57,1,16.48,GL,2023-12-13
65,hamilton,39.1834,-84.5333,-0.16,82,75,1.54,US,2023-12-13
66,iskateley,67.6803,53.1512,-13.88,95,100,4.47,RU,2023-12-13
67,calvi,42.5,8.8333,12.35,67,75,8.23,FR,2023-12-13
68,polyarnyy,69.1989,33.4478,-17.38,100,88,4.2,RU,2023-12-13
69,tura,25.5198,90.2201,14.88,75,0,0.99,IN,2023-12-13
70,college,64.8569,-147.8028,-14.03,82,100,2.57,US,2023-12-13
71,urangan,-25.3,152.9,23.7,73,14,3.31,AU,2023-12-13
72,aasiaat,68.7098,-52.8699,-9.1,88,100,3.63,GL,2023-12-13
73,beykonak,36.3257,30.303,17.63,59,9,2.7,TR,2023-12-13
74,khandyga,62.6667,135.6,-32.5,99,100,0.49,RU,2023-12-13
75,isafjordur,66.0755,-23.124,5.02,81,100,1.54,IS,2023-12-13
76,palikir - national government center,6.9248,158.1611,28.12,71,2,8.07,FM,2023-12-13
77,roxas,11.5853,122.7511,26.75,82,37,7.24,PH,2023-12-13
78,kavieng,-2.5744,150.7967,28.03,79,100,2.33,PG,2023-12-13
